"n","B","j","delta_lambda","kappa_IM","psi_delta","se_delta","lower_delta","upper_delta"
1000,36,1,0.0371733962730505,2400509.21642804,1.60981100337017,0.071262894129017,1.47013573087729,1.74948627586304
1000,37,1,0.0324057128736357,75556652.2549688,1.64660820899832,0.0573619246902883,1.53417883660535,1.75903758139128
1000,38,1,0.0279832667741997,35213814.7400144,1.66230798340943,0.0608348002837801,1.54307177485322,1.78154419196564
1000,39,1,0.0267482661702283,4.41817101569502e+21,1.50305097582062,0.0905736814706524,1.32552656013814,1.6805753915031
1000,40,1,0.0283195174985869,22415904.3327971,1.86965846469258,0.0800194446405399,1.71282035319712,2.02649657618804
1000,41,1,0.0268254698019407,3938753.81026583,1.5861608302262,0.0770557431407443,1.43513157367034,1.73719008678206
1000,42,1,0.0262963275448434,38013539.2183386,1.60300826364953,0.071164676139075,1.46352549841694,1.74249102888211
1000,43,1,0.0414824069044284,56900957.0095981,1.6731170375598,0.0736913805456096,1.5286819316904,1.81755214342919
1000,44,1,0.0254619729581535,70369065189569757184,0.00553424089392606,0.170428627500326,-0.328505869006713,0.339574350794566
1000,45,1,0.0253747540295653,9430186.72208556,1.42951160387027,0.0755825451830661,1.28136981531146,1.57765339242908
